pagina,titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
42, sansung A04 de 68 GB,120000,11-01-2023,09:00:31,"Cerro Navia, Región Metropolitana"
42,Celular Samsung Galaxy S21 Ultra 5G phantom black,600000,11-01-2023,00:05:30,"Melipilla, Región Metropolitana"
42,Celular samsung A33 5G,190000,10-01-2023,22:09:12,"Maipú, Región Metropolitana"
42,Cargador samsung carga super rapida 25w,8000,10-01-2023,20:28:12,"La Reina, Región Metropolitana"
42,Celular Samsung S5 blanco,34999,10-01-2023,19:50:01,"Providencia, Región Metropolitana"
42,Tablet samsumg galaxy con lapiz,80000,10-01-2023,18:32:35,"Peñalolén, Región Metropolitana"
42,Samsung Galaxy S20 128gb,100000,10-01-2023,16:53:25,"Quilicura, Región Metropolitana"
42,Celular samsung a50,75000,10-01-2023,15:34:23,"La Cisterna, Región Metropolitana"
42,Permuo Samsung s22 ultra por PC gamer o ps5,800000,10-01-2023,13:00:05,"Maipú, Región Metropolitana"
42,Samsung a21s de 128 gb,80000,10-01-2023,11:59:05,"Santiago, Región Metropolitana"
42,Cargador Samsung 45 W carga ultra rápida,15000,10-01-2023,00:31:38,"La Reina, Región Metropolitana"
42,Samsung Galaxy S21 FE 5G,350000,09-01-2023,23:27:45,"La Florida, Región Metropolitana"
42,Galaxy Watch4 Classic 42mm smartwatch samsung,100000,09-01-2023,19:39:59,"Macul, Región Metropolitana"
42,Celular galaxy A10 Samsung,50000,09-01-2023,17:47:31,"Recoleta, Región Metropolitana"
42,Samsung s20 5g,300000,09-01-2023,11:41:42,"La Florida, Región Metropolitana"
42,Samsung Watch 4 44MM ,100000,08-01-2023,18:14:11,"Santiago, Región Metropolitana"
42,Samsung Galaxy Watch 4 40mm Silver,80000,08-01-2023,17:24:57,"Santiago, Región Metropolitana"
42,Samsung Galaxy S7,110000,08-01-2023,13:27:13,"Las Condes, Región Metropolitana"
42,Samsung A01 Cómo nuevo,35000,08-01-2023,00:58:02,"Renca, Región Metropolitana"
42,Samsung Galaxy A20s,80000,07-01-2023,22:40:55,"Huechuraba, Región Metropolitana"
42,samsung A52 de 128 memoria ram poco uso ,130000,07-01-2023,11:58:07,"La Pintana, Región Metropolitana"
42,Bateria Samsung Galaxy S9 G960,10900,07-01-2023,11:56:14,"Providencia, Región Metropolitana"
42,Samsung Galaxy a10s,50000,06-01-2023,19:04:34,"Puente Alto, Región Metropolitana"
42,Samsung Galaxy S20 color rosado,380000,06-01-2023,08:46:09,"Las Condes, Región Metropolitana"
42,Samsung Galaxy Z Flip3 5G 128 GB,400000,06-01-2023,00:33:47,"Recoleta, Región Metropolitana"
42,Samsung s22,500000,05-01-2023,20:17:37,"Quinta Normal, Región Metropolitana"
42,Samsung a20s,55000,05-01-2023,20:09:40,"La Florida, Región Metropolitana"
42,Samsung A53 5G,250000,05-01-2023,16:08:00,"Maipú, Región Metropolitana"
42,Samsung s22,50000,05-01-2023,11:28:09,"Ñuñoa, Región Metropolitana"
42,Samsung galaxy a11 32gb,65000,05-01-2023,01:35:48,"Buin, Región Metropolitana"
42,Samsung galaxy a12 128gb,100000,05-01-2023,00:38:49,"La Florida, Región Metropolitana"
42,Samsung Galaxy A32,135000,04-01-2023,23:25:55,"Santiago, Región Metropolitana"
42,Samsung s20 fe,200000,04-01-2023,21:09:19,"Puente Alto, Región Metropolitana"
42,Samsung A71,120000,04-01-2023,18:03:53,"Santiago, Región Metropolitana"
42,Samsung a 51,160000,04-01-2023,17:02:47,"La Florida, Región Metropolitana"
42,Samsung a13 liberado sellado,150000,04-01-2023,16:24:46,"Las Condes, Región Metropolitana"
42,Samsung S9,160000,04-01-2023,15:41:28,"Las Condes, Región Metropolitana"
42,Samsung A31,145000,04-01-2023,15:03:02,"San Joaquín, Región Metropolitana"
42,Samsun Galaxy a71,95000,04-01-2023,12:54:52,"Maipú, Región Metropolitana"
42,Samsung Galaxi A 10 ,15000,04-01-2023,12:50:01,"San Joaquín, Región Metropolitana"
42,Estuche de carga samsung Buds y Buds plus,100000,04-01-2023,12:48:11,"Santiago, Región Metropolitana"
42, celular Samsung A30 color negro,430000,03-01-2023,21:04:21,"Puente Alto, Región Metropolitana"
42,Samsung Z Flip 3 blanco como nuevo 128 GB,275000,03-01-2023,19:13:55,"Independencia, Región Metropolitana"
42,Samsung Galaxy S10 Plus de 128gb Negro Usado,60000,03-01-2023,18:27:15,"Ñuñoa, Región Metropolitana"
42,Samsung galaxy watch active ,80000,03-01-2023,14:27:11,"Vitacura, Región Metropolitana"
42,Samsung galaxy A03,3900,03-01-2023,13:00:26,"La Florida, Región Metropolitana"
42,Cable Usb Samsung Galaxy Tab P1000 Tab 2 Note 10,0,03-01-2023,11:52:37,"Providencia, Región Metropolitana"
42,0,0,0,,0
42,0,0,0,,0
42,0,0,0,,0
