titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
iPhone 7 Plus de 32GB. Excelente estado ,200000,03-03-2023,18:24:02,"San Miguel, Región Metropolitana",45
iphone 8 plus,120000,03-03-2023,17:28:36,"Calera de Tango, Región Metropolitana",45
Iphone 13 pro max 128bg,1250000,03-03-2023,13:55:09,"Providencia, Región Metropolitana",45
IPhone 13 de 256 GB,650000,03-03-2023,08:30:51,"La Florida, Región Metropolitana",45
IPhone 11 128 gb 89%,250000,03-03-2023,07:47:49,"San Bernardo, Región Metropolitana",45
IPhone 13 Pro Max ,850000,02-03-2023,20:27:04,"Providencia, Región Metropolitana",45
Iphone 11 de 64gb color rojo,280000,02-03-2023,19:23:11,"Independencia, Región Metropolitana",45
IPhone 7 detalle,50000,02-03-2023,12:11:39,"San Bernardo, Región Metropolitana",45
IPhone XR 64Gb color rojo ,200000,02-03-2023,11:50:11,"Maipú, Región Metropolitana",45
IPhone 4s,20000,02-03-2023,11:18:07,"San Bernardo, Región Metropolitana",45
IPhone 7 y SE para repuestos,60000,02-03-2023,09:54:33,"Santiago, Región Metropolitana",45
IPhone 8 64GB,120000,01-03-2023,23:51:05,"La Florida, Región Metropolitana",45
IPhone XS Max,250000,01-03-2023,23:35:34,"Paine, Región Metropolitana",45
Carcasa iphone 12,2000,01-03-2023,22:29:19,"Ñuñoa, Región Metropolitana",45
IPhone 8 para restaurar o repuestos,45000,01-03-2023,22:28:10,"Providencia, Región Metropolitana",45
Caja iPhone 12 Pro Max,700000,01-03-2023,22:02:03,"Estación Central, Región Metropolitana",45
IPhone 13 ,300000,01-03-2023,21:58:45,"Huechuraba, Región Metropolitana",45
IPhone XR Red 128gb,350000,01-03-2023,20:42:02,"Macul, Región Metropolitana",45
IPhone 11 de 64gb,750000,01-03-2023,20:40:05,"Santiago, Región Metropolitana",45
Iphone 12 Pro Max 512 Gb Usado,80000,01-03-2023,20:17:55,"Las Condes, Región Metropolitana",45
Interfaz para iPhone irig 2 hd,40000,01-03-2023,20:08:31,"La Florida, Región Metropolitana",45
IPhone 6s rose gold en perfecto estado,10000,01-03-2023,19:37:27,"Lo Barnechea, Región Metropolitana",45
IPhone 4 en perfecto estado,20000,01-03-2023,19:11:04,"Lo Barnechea, Región Metropolitana",45
IPhone 6 con pantalla rota,650000,01-03-2023,18:49:17,"Lo Barnechea, Región Metropolitana",45
IPhone 13 seminuevo,180000,01-03-2023,18:36:35,"Colina, Región Metropolitana",45
Iphone 8 plus,220000,01-03-2023,13:47:09,"Santiago, Región Metropolitana",45
Iphone xr 64g,8000,01-03-2023,11:23:57,"Maipú, Región Metropolitana",45
Carcasa iPhone 11 pro max,160000,01-03-2023,11:06:49,"Lampa, Región Metropolitana",45
IPhone SE 2020,260000,01-03-2023,10:06:44,"Independencia, Región Metropolitana",45
IPhone SE (2da.Generación) 2020 sin uso,850000,01-03-2023,00:28:19,"Ñuñoa, Región Metropolitana",45
IPhone 12 Pro Max 128 gb,430000,28-02-2023,22:50:21,"Santiago, Región Metropolitana",45
IPHONE 12 64gb,800000,28-02-2023,21:56:01,"San Miguel, Región Metropolitana",45
IPhone 13 Pro Max,260000,28-02-2023,20:16:20,"Pudahuel, Región Metropolitana",45
Iphone 11 color Lila,260000,28-02-2023,19:59:40,"Ñuñoa, Región Metropolitana",45
Iphone 11 64GB,40000,28-02-2023,19:59:14,"Puente Alto, Región Metropolitana",45
IPhone SE repuesto,370,28-02-2023,18:24:02,"La Reina, Región Metropolitana",45
IPhone 11 color morado 64gb batería al 83%,350000,28-02-2023,18:02:07,"La Reina, Región Metropolitana",45
IPhone 11 usado,110000,28-02-2023,16:31:03,"Lo Barnechea, Región Metropolitana",45
IPhone 7 Rose Gold 32 GB,80000,28-02-2023,15:49:59,"Peñalolén, Región Metropolitana",45
IPhone X repuesto,130000,28-02-2023,15:48:16,"San Bernardo, Región Metropolitana",45
"Iphone 8 64 Gb, en buen estado",36000,28-02-2023,13:38:41,"Providencia, Región Metropolitana",45
Bateria iPhone XS Max Calidad Premium,17000,28-02-2023,09:45:21,"Pudahuel, Región Metropolitana",45
Baterias iPhone 7 y 7 Plus Nuevas Selladas a Domic,650000,28-02-2023,09:44:58,"Puente Alto, Región Metropolitana",45
IPhone 12 Pro Max ,18000,28-02-2023,08:59:41,"Las Condes, Región Metropolitana",45
Bateria iPhone 8 y 8 Plus Alternativas,66000,28-02-2023,08:06:50,"San Bernardo, Región Metropolitana",45
Pantalla iPhone XS Max a Domicilio,36000,28-02-2023,08:06:37,"Peñalolén, Región Metropolitana",45
Bateria iPhone X Nuevas a Domicilio,0,28-02-2023,08:06:19,"Quilicura, Región Metropolitana",45
0,0,0,,0,45
0,0,0,,0,45
0,0,0,,0,45
