titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Flex de carga huawei mate 10 lite,6900,08-06-2023,12:37:53,"Providencia, Región Metropolitana"
Celular Huawei P30 Lite 128GB excelente estado,65000,07-06-2023,21:56:42,"Providencia, Región Metropolitana"
Celular Huawei P20 Lite Usado en excelente estado,80000,07-06-2023,19:44:58,"Santiago, Región Metropolitana"
Huawei Y6 2018,17000,06-06-2023,19:23:23,"La Florida, Región Metropolitana"
Teléfono Huawei 2019,20000,06-06-2023,18:03:45,"La Florida, Región Metropolitana"
Huawei p30 pro,200000,06-06-2023,16:52:30,"Peñalolén, Región Metropolitana"
Smartwatch Huawei Watch GT 2 Pro,130000,04-06-2023,20:39:02,"La Florida, Región Metropolitana"
Huawei p9,95000,04-06-2023,16:11:16,"San Miguel, Región Metropolitana"
Celular Hawei Y9s Ram6gb Negro,140000,04-06-2023,12:48:37,"Santiago, Región Metropolitana"
Huawei Nova 9 SE,180000,03-06-2023,21:19:44,"Pudahuel, Región Metropolitana"
Teléfono celular Huawei,100000,03-06-2023,19:34:52,"Huechuraba, Región Metropolitana"
Celular nuevo Huawei Nova Y70,100000,03-06-2023,11:23:57,"Santiago, Región Metropolitana"
Smartwatch huawei GT 2 46 mm,50000,02-06-2023,18:44:39,"La Florida, Región Metropolitana"
Smartwatch Huawei Watch FIT,50000,02-06-2023,18:36:57,"La Florida, Región Metropolitana"
Huawei modelo mrd-lx3,140000,02-06-2023,17:54:34,"Padre Hurtado, Región Metropolitana"
Huawei p20 pro 128gb negro 6 gb ram,100000,01-06-2023,10:49:35,"San Miguel, Región Metropolitana"
Huawei P30 lite,60000,31-05-2023,18:09:51,"La Florida, Región Metropolitana"
"Smart watch Huawei fit 6d4, usado",60000,30-05-2023,23:40:27,"La Reina, Región Metropolitana"
Huawei p smart 2019,380000,30-05-2023,21:04:15,"Puente Alto, Región Metropolitana"
Huawei mate 30 pro,120000,30-05-2023,19:38:36,"La Florida, Región Metropolitana"
Huawei P40 Lite,85000,30-05-2023,16:54:48,"Cerro Navia, Región Metropolitana"
Audifonos Huawei Freebuds Pro,70000,30-05-2023,12:49:05,"Estación Central, Región Metropolitana"
HUAWEI Y7a color negro  ,40000,29-05-2023,22:55:37,"San Miguel, Región Metropolitana"
Huawei y6,380000,29-05-2023,16:09:12,"Puente Alto, Región Metropolitana"
Huawei Mate 40 Pro,90000,28-05-2023,23:40:43,"La Florida, Región Metropolitana"
Huawei P40 ,140000,28-05-2023,17:43:18,"La Florida, Región Metropolitana"
Huawei P40 lite nuevo en caja sin ningún uso,35000,28-05-2023,12:19:58,"La Florida, Región Metropolitana"
Celular huawei y7 en buen estado funciona perfect,50000,28-05-2023,05:02:49,"Santiago, Región Metropolitana"
WiFi Router Huawei ,75000,26-05-2023,22:00:29,"La Florida, Región Metropolitana"
Huawei P30 lite,20000,26-05-2023,18:13:53,"Quinta Normal, Región Metropolitana"
Huawei y8s,50000,26-05-2023,10:58:42,"La Cisterna, Región Metropolitana"
Huawei P40 Lite pantalla trizada,70000,25-05-2023,18:49:16,"Las Condes, Región Metropolitana"
Celular huawei p20,70000,25-05-2023,07:30:42,"Santiago, Región Metropolitana"
Huawei p20 lite,70,24-05-2023,17:36:44,"Macul, Región Metropolitana"
Reloj Huawei watch gt 2,80000,23-05-2023,17:24:02,"Cerro Navia, Región Metropolitana"
Huawei Y7 2019,60000,23-05-2023,13:35:25,"Quilicura, Región Metropolitana"
Tablet Huawei,45000,23-05-2023,13:35:11,"Estación Central, Región Metropolitana"
Huawei p smart 2019,60000,23-05-2023,11:38:45,"San Joaquín, Región Metropolitana"
Oferta huawei,120000,22-05-2023,23:07:27,"Lo Prado, Región Metropolitana"
Reloj huawei gt watch runner,90000,21-05-2023,21:42:05,"Las Condes, Región Metropolitana"
Huawei p30 ,300000,21-05-2023,18:33:50,"Maipú, Región Metropolitana"
Huawei P30 Pro (usado) Con Android,110000,21-05-2023,12:52:33,"Lo Barnechea, Región Metropolitana"
Huawei y9a,85000,20-05-2023,21:49:38,"Quilicura, Región Metropolitana"
Smartwatch Huawei,160000,20-05-2023,16:46:07,"Maipú, Región Metropolitana"
Huawei Nova 9,120000,20-05-2023,16:39:35,"Maipú, Región Metropolitana"
Huawei Mate 10 pro 6GB/128GB/Dual SIM,90000,20-05-2023,14:35:19,"Santiago, Región Metropolitana"
Huawei ys9,0,20-05-2023,10:51:01,"Independencia, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
