titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Celular Huawei Mate 20,100000,24-08-2023,12:32:02,"Vitacura, Región Metropolitana"
Huawei nova y70,65000,24-08-2023,12:02:38,"Pudahuel, Región Metropolitana"
"Smartwatch Samsung, Huawei band 4 pro",70000,24-08-2023,09:19:08,"El Monte, Región Metropolitana"
HUAWEI Watch GT3 pro,200000,24-08-2023,02:31:04,"Las Condes, Región Metropolitana"
Celular Huawei Mate 20 Lite 64 GB 4 GB ram,45000,23-08-2023,21:09:10,"Puente Alto, Región Metropolitana"
Huawei Mate 20,85000,23-08-2023,17:30:38,"Las Condes, Región Metropolitana"
Baterias de litio narada y huawei nuevas embaladas,240000,23-08-2023,07:10:28,"Puente Alto, Región Metropolitana"
Huawei P30pro 256Gb como nuevo,25900,22-08-2023,15:21:47,"Melipilla, Región Metropolitana"
Camara Trasera Huawei P30 Lite,65000,22-08-2023,11:49:19,"Macul, Región Metropolitana"
Huawei mate20 lite SNE - LX3 liberado,75000,22-08-2023,10:59:45,"Ñuñoa, Región Metropolitana"
Celular huawei y9s,45000,22-08-2023,00:18:39,"San Bernardo, Región Metropolitana"
Huawei watch gt,140000,21-08-2023,23:41:51,"Recoleta, Región Metropolitana"
Tablet Huawei matepad,20000,21-08-2023,23:32:46,"La Florida, Región Metropolitana"
Huawei band 6,180000,21-08-2023,17:28:02,"Lampa, Región Metropolitana"
Teléfono Huawei mate 10 pro,4500,21-08-2023,16:53:06,"San Ramón, Región Metropolitana"
Lente cámara trasera huawei p20,5500,21-08-2023,12:10:00,"Macul, Región Metropolitana"
Lente Camara Trasera Huawei P40 Lite,490000,21-08-2023,11:55:03,"Macul, Región Metropolitana"
Lente Camara Trasera Huawei P30 Pro,85000,21-08-2023,11:54:50,"Macul, Región Metropolitana"
Huawei p50 pro Gold,25000,20-08-2023,21:36:35,"Colina, Región Metropolitana"
Huawei M-Pencil 1nd gen + cargador y puntas,120000,20-08-2023,21:03:43,"Vitacura, Región Metropolitana"
Funda Huawei matepad 10.4,60000,20-08-2023,21:00:49,"Vitacura, Región Metropolitana"
Celular Huawei mate 20 pro,65000,20-08-2023,15:14:54,"San Miguel, Región Metropolitana"
Teléfono Celular Huawei Y7 2019,20000,20-08-2023,14:59:41,"Maipú, Región Metropolitana"
Huawei Watch fit 2,45000,19-08-2023,20:56:17,"Padre Hurtado, Región Metropolitana"
Huawei gr5,45000,19-08-2023,10:43:35,"Quilicura, Región Metropolitana"
Smartwatch huawei,20000,18-08-2023,22:51:34,"Las Condes, Región Metropolitana"
Celular Huawei Y7 2019 dual sim,50000,18-08-2023,22:08:32,"Santiago, Región Metropolitana"
Huawei gr5,45000,18-08-2023,19:55:59,"Quilicura, Región Metropolitana"
Huawei p30lite rosado pantalla quebrada,135000,18-08-2023,02:39:18,"Estación Central, Región Metropolitana"
Huawei P30 pantalla quebrada,80000,18-08-2023,01:01:04,"Estación Central, Región Metropolitana"
Huawei p30 Normal excelente,150000,17-08-2023,18:22:55,"La Florida, Región Metropolitana"
Huawei P20 128Gb 6RAM,85000,17-08-2023,14:08:54,"Maipú, Región Metropolitana"
Huawei nova 9se,35000,16-08-2023,22:41:17,"Puente Alto, Región Metropolitana"
Huawei Y9s,40000,16-08-2023,22:35:38,"Santiago, Región Metropolitana"
Huawei mate 10 Lite 128 gb impecable ,80000,16-08-2023,13:55:07,"Macul, Región Metropolitana"
Huawei fit watch,90000,16-08-2023,11:48:01,"Providencia, Región Metropolitana"
Smart Watch huawei,30000,16-08-2023,11:25:58,"Pedro Aguirre Cerda, Región Metropolitana"
Smart Watch huawei gt2e,60000,16-08-2023,11:22:17,"Pedro Aguirre Cerda, Región Metropolitana"
Huawei nova y60,40000,16-08-2023,10:14:38,"Recoleta, Región Metropolitana"
Huawei p 40 lite,80000,16-08-2023,09:51:02,"Santiago, Región Metropolitana"
Smartwatch HUAWEI GT,90000,16-08-2023,08:16:22,"Estación Central, Región Metropolitana"
Reloj smartwatch huawei gt3,35000,16-08-2023,04:29:52,"La Florida, Región Metropolitana"
Reloj Huawei Gt2 pro,100000,15-08-2023,19:55:00,"Cerro Navia, Región Metropolitana"
Huawei Mobile Wifi,80000,15-08-2023,18:03:10,"Quilicura, Región Metropolitana"
Huawei mate 20,165000,15-08-2023,16:11:24,"Puente Alto, Región Metropolitana"
Watch 3 sport Huawei,100000,14-08-2023,17:12:48,"Santiago, Región Metropolitana"
Huawei p40 Lite ,35000,14-08-2023,14:25:04,"La Granja, Región Metropolitana"
Bateria Para Huawei P30 Lite,10990,14-08-2023,11:48:44,"Macul, Región Metropolitana"
Huawei Nova 9,200000,13-08-2023,23:47:42,"Santiago, Región Metropolitana"
Celular Huawei mate 20 lite,140000,13-08-2023,23:46:53,"Santiago, Región Metropolitana"
Celular huawei p9 lite,50000,13-08-2023,23:46:00,"Santiago, Región Metropolitana"
Celular Huawei Mate 20 Lite dorado,120000,13-08-2023,18:50:48,"Pudahuel, Región Metropolitana"
Huawei Band 6 -C09,25000,13-08-2023,10:34:06,"Puente Alto, Región Metropolitana"
Celular Huawei nova,110000,13-08-2023,03:10:39,"Vitacura, Región Metropolitana"
Huawei P30 Pro,360000,12-08-2023,22:32:32,"Ñuñoa, Región Metropolitana"
Huawei Band 6,15000,12-08-2023,19:41:49,"San Miguel, Región Metropolitana"
Huawei band 7,40000,12-08-2023,13:31:44,"La Granja, Región Metropolitana"
Pantalla para huawei p30 oled,27500,12-08-2023,12:10:27,"Macul, Región Metropolitana"
Pantalla lcd + tactil huawei p20 lite,28000,12-08-2023,12:10:19,"Macul, Región Metropolitana"
Huawei g7010 antiguo,50000,12-08-2023,11:00:17,"Macul, Región Metropolitana"
Teléfono Huawei ,50000,11-08-2023,16:35:00,"Providencia, Región Metropolitana"
