titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Pantalla xiaomi mi 8 lite,45000,31-08-2022,12:36:47,"Providencia, Región Metropolitana"
Xiaomi 11t excelente estado,250000,31-08-2022,01:40:24,"Las Condes, Región Metropolitana"
Xiaomi 11T pro ,260000,30-08-2022,20:34:12,"La Florida, Región Metropolitana"
Xiaomi redmi note 9,60000,30-08-2022,18:07:04,"Quilicura, Región Metropolitana"
Xiaomi 8,50000,30-08-2022,17:04:55,"Las Condes, Región Metropolitana"
Pantalla xiaomi redmi note 10,119000,30-08-2022,13:46:19,"Providencia, Región Metropolitana"
Pantalla Xiaomi Mi Note 10,77900,30-08-2022,13:26:41,"Providencia, Región Metropolitana"
Xiaomi Lite 11 G,260000,29-08-2022,20:24:00,"Puente Alto, Región Metropolitana"
Nuevo Xiaomi Blackshark 4 Pro Global 256gb Memoria,549990,29-08-2022,17:08:08,"Las Condes, Región Metropolitana"
Nuevo - Xiaomi Blackshark 4 Negro 128gb memoria,409990,29-08-2022,17:08:08,"Las Condes, Región Metropolitana"
Xiaomi 10 T pro,280000,29-08-2022,15:48:00,"Maipú, Región Metropolitana"
Xiaomi Mi 10T,190000,29-08-2022,14:19:28,"Santiago, Región Metropolitana"
Flex de carga xiaomi redmi note 10/10s,12900,29-08-2022,12:58:03,"Providencia, Región Metropolitana"
Flex de carga xiomi mi 10t,10900,29-08-2022,12:35:30,"Providencia, Región Metropolitana"
Xiaomi Redmi Note 9 PRO,200000,29-08-2022,11:51:44,"Santiago, Región Metropolitana"
Xiaomi MI 11 lite 5g,270000,29-08-2022,09:51:44,"La Cisterna, Región Metropolitana"
Xiaomi mi10t,150000,29-08-2022,05:36:53,"Ñuñoa, Región Metropolitana"
note 8 pro xiaomi de 128 Gb,19990,28-08-2022,04:02:21,"Santiago, Región Metropolitana"
Xiaomi nuevo sin uso,90000,27-08-2022,14:12:06,"La Florida, Región Metropolitana"
Instalación flex de carga xiaomi redmi 9a,10900,27-08-2022,12:12:02,"Providencia, Región Metropolitana"
Xiaomi Redmi 10A,8900,27-08-2022,06:41:13,"Santiago, Región Metropolitana"
Flex De Carga Xiaomi Mi 10t,200000,27-08-2022,01:24:07,"Macul, Región Metropolitana"
Flex De Carga Xiaomi Redmi 10 / 10s 4g,24990,27-08-2022,00:45:54,"Macul, Región Metropolitana"
Xiaomi Mi 10T,140000,25-08-2022,22:43:56,"Maipú, Región Metropolitana"
Destornillador Electrico Inalambrico Xiaomi Mijia,130000,25-08-2022,18:27:31,"Maipú, Región Metropolitana"
Xiaomi note 10,200000,25-08-2022,17:33:04,"Cerro Navia, Región Metropolitana"
Xiaomi Red Note 10,230000,25-08-2022,09:33:38,"Santiago, Región Metropolitana"
Xiaomi 11 Lite 128gb 8 Ram 5 G,190000,24-08-2022,23:12:18,"Quinta Normal, Región Metropolitana"
Xiaomi Redmi Note 11S,80000,24-08-2022,15:36:18,"Puente Alto, Región Metropolitana"
Celular xiaomi mi 11 lite,10500,24-08-2022,13:18:37,"Santiago, Región Metropolitana"
Xiaomi redmi 10a,170000,24-08-2022,11:52:04,"San Ramón, Región Metropolitana"
Lex De Carga Xiaomi Poco X3 / X3 Pro,85000,23-08-2022,23:47:32,"Macul, Región Metropolitana"
TELÉFONO XIAOMI REDMI NOTE 10s,100000,22-08-2022,23:13:27,"Quinta Normal, Región Metropolitana"
Xiaomi Redmi Note 9,100000,22-08-2022,23:09:03,"Lo Espejo, Región Metropolitana"
Xiaomi redmi 9s,150000,22-08-2022,21:04:58,"Renca, Región Metropolitana"
Xaomi Redmi Note 10 5G,150000,22-08-2022,20:58:43,"Quinta Normal, Región Metropolitana"
Celulares motorola y xioami a buen precio,400000,22-08-2022,17:53:13,"El Bosque, Región Metropolitana"
Xiaomi REDMI Note Red 10 5g,90000,22-08-2022,11:33:05,"Maipú, Región Metropolitana"
Celular Xaomi redmi 10a,260000,22-08-2022,01:22:20,"Estación Central, Región Metropolitana"
Xiaomi 11t pro + xiaomi mi watch,140000,21-08-2022,21:31:42,"Lo Barnechea, Región Metropolitana"
Xiaomi Poco X3 nfc,115000,21-08-2022,20:21:58,"Macul, Región Metropolitana"
Xiaomi Lite 11 5 G,300000,20-08-2022,17:06:27,"San Miguel, Región Metropolitana"
Xiaomi Redmi Note 10 Tarnish,0,20-08-2022,16:07:50,"Santiago, Región Metropolitana"
Xiaomi Redmi 10A 64GB,0,20-08-2022,14:13:45,"Melipilla, Región Metropolitana"
Xiaomi 11 T blue,0,19-08-2022,17:25:12,"Macul, Región Metropolitana"
Cargador inalámbrico +audífono Xiaomi,0,18-08-2022,15:32:11,"Maipú, Región Metropolitana"
Reloj xiaomi ,0,18-08-2022,12:54:19,"Santiago, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
