titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Xiaomi Redmi Note 10 Pro 6/128 GB,80000,24-08-2023,19:53:59,"El Bosque, Región Metropolitana"
Xiaomi mi watch,90000,24-08-2023,18:40:03,"Puente Alto, Región Metropolitana"
Xiaomi Smart Watch S1 Active White,105000,24-08-2023,12:45:57,"La Florida, Región Metropolitana"
Teléfono Xiaomi Redmi Note 11S 128GB Gris,150000,24-08-2023,01:52:35,"Santiago, Región Metropolitana"
Xiaomi redmi note 9 negro 64gb ,60000,23-08-2023,18:08:57,"Providencia, Región Metropolitana"
Xiaomi redmi note 9 pro 128gb 6gb de ram liberado,90000,23-08-2023,15:22:12,"Providencia, Región Metropolitana"
Celular xiaomi redmi 12c,130000,23-08-2023,15:15:37,"Maipú, Región Metropolitana"
Celular Xiaomi Redmi Note 9 Dual Sim Liberado,90000,23-08-2023,14:24:03,"Santiago, Región Metropolitana"
Xiaomi Mi 10T Lite 5G 6/128GB,100000,22-08-2023,22:21:12,"El Bosque, Región Metropolitana"
MicroSD 2TB Xiaomi Tarjeta Memoria adaptador,15000,22-08-2023,16:44:56,"San Bernardo, Región Metropolitana"
Xiaomi redmi a1,40000,22-08-2023,02:11:13,"Santiago, Región Metropolitana"
Xiaomi mi 10t 128,149000,21-08-2023,22:52:23,"Colina, Región Metropolitana"
Celular xiaomi 128 gb red 12 c,120000,21-08-2023,14:30:26,"Vitacura, Región Metropolitana"
Lente Mica De Camara Xiaomi Redmi 10,5900,21-08-2023,12:10:03,"Macul, Región Metropolitana"
Xiaomi Redmi Note 10 5G 2022,130000,21-08-2023,09:53:36,"Providencia, Región Metropolitana"
Xiaomi 12 TPro,450000,20-08-2023,21:46:56,"San Bernardo, Región Metropolitana"
Xiaomi mi 10T Pro usado,200000,20-08-2023,19:37:59,"La Florida, Región Metropolitana"
Xiaomi redmi note 10 5g,155000,20-08-2023,15:25:49,"Santiago, Región Metropolitana"
Celular Xiaomi,50000,20-08-2023,15:22:39,"La Florida, Región Metropolitana"
Xiaomi Redmi Note 11 pro+ 5G,300000,20-08-2023,12:37:29,"Santiago, Región Metropolitana"
Xiaomi redmi note 11s,140000,20-08-2023,08:44:59,"San Bernardo, Región Metropolitana"
Xiaomi Redmi Note 9S,89990,20-08-2023,00:44:38,"Conchalí, Región Metropolitana"
Xiomi 9a 2022,45,19-08-2023,14:16:50,"Maipú, Región Metropolitana"
Xiaomi Redmi watch 3 Active ,36000,19-08-2023,13:18:00,"La Florida, Región Metropolitana"
Xiaomi poco x3 pro de 256gb en perfectas condicion,150000,19-08-2023,08:59:05,"Independencia, Región Metropolitana"
V o P Xiaomi redmi note 12 pro 5g,300000,18-08-2023,22:26:37,"La Florida, Región Metropolitana"
Xiaomi Redmi 12C Dual SIM 128 GB gris grafito 4 GB,180000,18-08-2023,21:44:54,"Maipú, Región Metropolitana"
Celular Xiaomi redmi10 5G 128 GB nuevo y sellado,120000,18-08-2023,13:27:14,"Quinta Normal, Región Metropolitana"
Celular Xiaomi Redmi 12 C,100000,18-08-2023,12:26:50,"La Florida, Región Metropolitana"
Xiaomi Redmi Note 9 Pro,80000,18-08-2023,11:30:41,"Puente Alto, Región Metropolitana"
Xiaomi redmi 12c,90000,18-08-2023,02:45:44,"Quinta Normal, Región Metropolitana"
Xiaomi redmi Note 9 Pro,80000,17-08-2023,08:43:05,"Providencia, Región Metropolitana"
Xiaomi Redmi Note 10 PRO,10000,16-08-2023,23:45:21,"Santiago, Región Metropolitana"
Xiaomi black shark 4 ,290000,16-08-2023,21:53:53,"Pudahuel, Región Metropolitana"
Xiaomi Mi 10t 128GB,205000,16-08-2023,20:25:04,"Las Condes, Región Metropolitana"
"Xiaomi note 10, solo 6 meses de uso",90000,16-08-2023,11:42:52,"Providencia, Región Metropolitana"
Xiaomi 11 Lite 5G,150000,16-08-2023,10:24:45,"Recoleta, Región Metropolitana"
Xiaomi 11T,400000,15-08-2023,19:06:53,"Quinta Normal, Región Metropolitana"
Xiaomi redmi note 7,40000,15-08-2023,12:37:52,"Recoleta, Región Metropolitana"
Xaomi 12 t,300000,15-08-2023,11:54:11,"Lo Prado, Región Metropolitana"
