,Estandar
0,Samsung S23 Plus
1,Samsung S21 Fe
2,Samsung S23 Ultra
3,Samsung A53
4,Samsung S22
5,Samsung A22
6,Samsung S20 Ultra
7,Samsung A21S
8,Samsung A53
9,Samsung S20 Ultra
10,Samsung A70
11,Samsung A21S
12,Samsung S23 Ultra
13,Samsung A31
14,Samsung A33
15,Samsung S20
16,Samsung A14
17,Samsung S20 Plus
18,Samsung S23 Ultra
19,Samsung A32
20,Samsung A21S
21,Samsung S21 Fe
22,Samsung A22
23,Samsung A34
24,Samsung A30S
25,Samsung A33
26,Samsung A20
27,Samsung A04
28,Samsung Note 20 Ultra
29,Samsung Z Fold 4
30,Samsung A31
31,Samsung S20 Fe
32,Samsung A03S
33,Samsung A14
34,Samsung A22
35,Samsung A31
36,Samsung S21 Fe
37,Samsung A24
38,Samsung S20
39,Samsung S22 Ultra
40,Samsung A72
41,Samsung S23
42,Samsung A32
43,Samsung S21
44,Samsung S21
45,Samsung S20 Fe
46,Samsung A03
47,Samsung A24
48,Samsung S21 Fe
49,Samsung Z Flip 4
50,Samsung A22
51,Samsung S22
52,Samsung A12
53,Samsung S22
54,Samsung S21
55,Samsung A71
56,Samsung A20S
57,Samsung A20S
58,Samsung A52S
59,Samsung A51
60,Samsung S23 Ultra
61,Samsung A23
62,Samsung A20
63,Samsung A54
64,Samsung S22
65,Samsung Z Fold 3
66,Samsung S20 Plus
67,Samsung S20 Fe
68,Samsung S22
69,Samsung A30S
70,Samsung A32
71,Samsung A34
72,Samsung A54
73,Samsung A23
74,Samsung S22 Ultra
75,Samsung S22 Ultra
76,Samsung S20 Fe
77,Samsung A14
78,Samsung A51
79,Samsung A31
80,Samsung A34
81,Samsung A31
82,Samsung A10S
83,Samsung S22 Plus
84,Samsung A53
85,Samsung A23
86,Samsung S22 Ultra
87,Samsung S10 Plus
88,Samsung S21
89,Samsung A02S
90,Samsung A23
91,Samsung S21
92,Samsung A10S
93,Samsung S21 Plus
94,Samsung A12
95,Samsung A32
96,Samsung S22 Ultra
97,Samsung S21 Fe
98,Samsung A54
99,Samsung A53
100,Samsung A32
101,Samsung A54
102,Samsung A72
103,Samsung S10 Plus
104,Samsung S10 Plus
105,Samsung S22
106,Samsung A20S
107,Samsung S22 Plus
108,Samsung S21
109,Samsung A11
110,Samsung A71
111,Samsung S23
112,Samsung S22 Ultra
113,Samsung A54
114,Samsung A30
115,Samsung A04
116,Samsung Z Fold 3
117,Samsung A10S
118,Samsung A20S
119,Samsung S21
120,Samsung Note 10
121,Samsung A70
122,Samsung A03
123,Samsung A13
124,Samsung S20 Plus
125,Samsung A11
126,Samsung A22
127,Samsung A53
128,Samsung S10 Plus
