Estandar;Url Imagen
Huawei Mate 10;https://w7.pngwing.com/pngs/584/169/png-transparent-huawei-mate-10-huawei-mate-8-%E5%8D%8E%E4%B8%BA-lte-others-gadget-mobile-phone-electronic-device.png
Huawei Mate 10 Lite;https://w7.pngwing.com/pngs/584/169/png-transparent-huawei-mate-10-huawei-mate-8-%E5%8D%8E%E4%B8%BA-lte-others-gadget-mobile-phone-electronic-device.png
Huawei Mate 10 Pro;https://w7.pngwing.com/pngs/584/169/png-transparent-huawei-mate-10-huawei-mate-8-%E5%8D%8E%E4%B8%BA-lte-others-gadget-mobile-phone-electronic-device.png
Huawei Mate 20;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
Huawei Mate 20 Lite;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
Huawei Mate 20 Pro;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
Huawei Mate 30 Pro;https://www.proandroid.com/wp-content/uploads/2019/09/huawei-mate-30-completa.jpg
Huawei Mate 40 Pro;https://cdn.dxomark.com/wp-content/uploads/medias/post-67563/mate-40-pro-plus.jpg
Huawei Mate 9 Lite;https://http2.mlstatic.com/D_NQ_NP_895806-MLC28219572765_092018-O.webp
Huawei Nova 5T;https://www.elcocotecnologico.cl/wp-content/uploads/2023/07/huawei-nova-5t-128go-bleu.webp
Huawei Nova 7;https://specs-tech.com/wp-content/uploads/2020/04/specs-tech-169.jpg
Huawei Nova 7 Se;https://specs-tech.com/wp-content/uploads/2020/04/specs-tech-169.jpg
Huawei Nova 7I;https://specs-tech.com/wp-content/uploads/2020/04/specs-tech-169.jpg
Huawei Nova 8;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
Huawei Nova 8I;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
Huawei Nova 9;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
Huawei Nova 9 Se;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
Huawei Nova Y60;https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/phones/nova-y60/specs/list-old/color-id-green@2x.png
Huawei Nova Y70;https://media.solotodo.com/media/products/1589886_picture_1652265672.png
Huawei Nova Y90;https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/admin-image/phones/nova-y90/list/blue.png
Huawei P Smart;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
Huawei P Smart 2019;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
Huawei P10;https://http2.mlstatic.com/D_NQ_NP_825891-MLC25537702931_042017-O.webp
Huawei P10 Lite;https://http2.mlstatic.com/D_NQ_NP_825891-MLC25537702931_042017-O.webp
Huawei P10 Pro;https://http2.mlstatic.com/D_NQ_NP_825891-MLC25537702931_042017-O.webp
Huawei P20;https://http2.mlstatic.com/D_NQ_NP_872111-MLA44155983403_112020-O.webp
Huawei P20 Lite;https://http2.mlstatic.com/D_NQ_NP_872111-MLA44155983403_112020-O.webp
Huawei P20 Pro;https://http2.mlstatic.com/D_NQ_NP_872111-MLA44155983403_112020-O.webp
Huawei P30;https://m.media-amazon.com/images/I/41tlsZSPkvL._SL500_.jpg
Huawei P30 Lite;https://m.media-amazon.com/images/I/41tlsZSPkvL._SL500_.jpg
Huawei P30 Pro;https://m.media-amazon.com/images/I/41tlsZSPkvL._SL500_.jpg
Huawei P40;https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/list-image/phones/p40/p40-silver.png
Huawei P40 Lite;https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/list-image/phones/p40/p40-silver.png
Huawei P40 Pro;https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/list-image/phones/p40/p40-silver.png
Huawei P50;https://img01.huaweifile.com/sg/ms/cl/pms/uomcdn/CL_HW_B2C/pms/202206/gbom/6941487260966/428_428_23336E91B8A3205AB56586C691528D77mp.png
Huawei P50 Pro;https://img01.huaweifile.com/sg/ms/cl/pms/uomcdn/CL_HW_B2C/pms/202206/gbom/6941487260966/428_428_23336E91B8A3205AB56586C691528D77mp.png
Huawei P9;https://dbdtech.cl/wp-content/uploads/2019/11/p9lite-1.jpg
Huawei Y5;https://home.ripley.cl/store/Attachment/WOP/D191/2000379185726/imagen-(1).jpg
Huawei Y6;https://falabella.scene7.com/is/image/Falabella/116383141_1?wid=800&hei=800&qlt=70
Huawei Y7;https://falabella.scene7.com/is/image/Falabella/gsc_123287347_3628297_1?wid=800&hei=800&qlt=70
Huawei Y7A;https://falabella.scene7.com/is/image/Falabella/gsc_123287347_3628297_1?wid=800&hei=800&qlt=70
Huawei Y7P;https://falabella.scene7.com/is/image/Falabella/gsc_123287347_3628297_1?wid=800&hei=800&qlt=70
