,Estandar,precio,precio,precio
,,min,median,mean
0,Huawei Mate 10,60000,60000.0,60000.0
1,Huawei Mate 10 Lite,55000,60000.0,65000.0
2,Huawei Mate 10 Pro,70000,85000.0,100000.0
3,Huawei Mate 20,85000,100000.0,112500.0
4,Huawei Mate 20 Lite,60000,80000.0,88235.0
5,Huawei Mate 20 Pro,65000,100000.0,139999.0
6,Huawei Mate 30 Pro,80000,120000.0,183333.0
7,Huawei Mate 40 Pro,55000,139990.0,268888.0
8,Huawei Mate 9 Lite,150000,150000.0,150000.0
9,Huawei Nova 5T,80000,152000.0,163818.0
10,Huawei Nova 7,80000,90000.0,90000.0
11,Huawei Nova 7 Se,100000,100000.0,100000.0
12,Huawei Nova 8,78000,100000.0,149333.0
13,Huawei Nova 8I,55000,135000.0,158167.0
14,Huawei Nova 9,65000,180000.0,180474.0
15,Huawei Nova 9 Se,80000,180000.0,157000.0
16,Huawei Nova Y60,85000,185000.0,238750.0
17,Huawei Nova Y70,55000,100000.0,116667.0
18,Huawei Nova Y90,70000,75000.0,75000.0
19,Huawei P Smart,65000,65000.0,65000.0
20,Huawei P Smart 2019,55000,105000.0,146400.0
21,Huawei P10,100000,100000.0,100000.0
22,Huawei P20,70000,120000.0,131818.0
23,Huawei P20 Lite,55000,77500.0,92273.0
24,Huawei P20 Pro,60000,100000.0,99286.0
25,Huawei P30,80000,140000.0,151607.0
26,Huawei P30 Lite,60000,85000.0,93766.0
27,Huawei P30 Pro,69990,205000.0,205832.0
28,Huawei P40,55000,100000.0,139205.0
29,Huawei P40 Lite,55000,90000.0,112175.0
30,Huawei P40 Pro,55000,290000.0,235000.0
31,Huawei P50,200000,325000.0,325000.0
32,Huawei P50 Pro,650000,725000.0,725000.0
33,Huawei P9,55000,60000.0,70000.0
34,Huawei Y5,60000,150000.0,120000.0
35,Huawei Y6,60000,95000.0,190000.0
36,Huawei Y7,52000,85000.0,108130.0
37,Huawei Y7A,100000,140000.0,142000.0
38,Huawei Y7P,65000,65000.0,65000.0
39,Huawei Y8,80000,80000.0,80000.0
40,Huawei Y80,100000,100000.0,100000.0
41,Huawei Y8P,80000,90000.0,90000.0
42,Huawei Y8S,60000,127500.0,127500.0
43,Huawei Y9,55000,90000.0,177826.0
44,Huawei Y9 2019,80000,95000.0,91667.0
