indice;Estandar;Marca;Clasificacion_MICRO;Clasificacion_MACRO;url_imagen_equipo
8151;Huawei Mate 10;Huawei;Mate 10;Mate;https://w7.pngwing.com/pngs/584/169/png-transparent-huawei-mate-10-huawei-mate-8-%E5%8D%8E%E4%B8%BA-lte-others-gadget-mobile-phone-electronic-device.png
8668;Huawei Mate 10;Huawei;Mate 10;Mate;https://w7.pngwing.com/pngs/584/169/png-transparent-huawei-mate-10-huawei-mate-8-%E5%8D%8E%E4%B8%BA-lte-others-gadget-mobile-phone-electronic-device.png
9077;Huawei Mate 10;Huawei;Mate 10;Mate;https://w7.pngwing.com/pngs/584/169/png-transparent-huawei-mate-10-huawei-mate-8-%E5%8D%8E%E4%B8%BA-lte-others-gadget-mobile-phone-electronic-device.png
7901;Huawei Mate 10 Lite;Huawei;Mate 10 Lite;Mate;https://w7.pngwing.com/pngs/584/169/png-transparent-huawei-mate-10-huawei-mate-8-%E5%8D%8E%E4%B8%BA-lte-others-gadget-mobile-phone-electronic-device.png
8272;Huawei Mate 10 Lite;Huawei;Mate 10 Lite;Mate;https://w7.pngwing.com/pngs/584/169/png-transparent-huawei-mate-10-huawei-mate-8-%E5%8D%8E%E4%B8%BA-lte-others-gadget-mobile-phone-electronic-device.png
9066;Huawei Mate 10 Lite;Huawei;Mate 10 Lite;Mate;https://w7.pngwing.com/pngs/584/169/png-transparent-huawei-mate-10-huawei-mate-8-%E5%8D%8E%E4%B8%BA-lte-others-gadget-mobile-phone-electronic-device.png
7881;Huawei Mate 10 Pro;Huawei;Mate 10 Pro;Mate;https://w7.pngwing.com/pngs/584/169/png-transparent-huawei-mate-10-huawei-mate-8-%E5%8D%8E%E4%B8%BA-lte-others-gadget-mobile-phone-electronic-device.png
8078;Huawei Mate 10 Pro;Huawei;Mate 10 Pro;Mate;https://w7.pngwing.com/pngs/584/169/png-transparent-huawei-mate-10-huawei-mate-8-%E5%8D%8E%E4%B8%BA-lte-others-gadget-mobile-phone-electronic-device.png
8142;Huawei Mate 10 Pro;Huawei;Mate 10 Pro;Mate;https://w7.pngwing.com/pngs/584/169/png-transparent-huawei-mate-10-huawei-mate-8-%E5%8D%8E%E4%B8%BA-lte-others-gadget-mobile-phone-electronic-device.png
8229;Huawei Mate 10 Pro;Huawei;Mate 10 Pro;Mate;https://w7.pngwing.com/pngs/584/169/png-transparent-huawei-mate-10-huawei-mate-8-%E5%8D%8E%E4%B8%BA-lte-others-gadget-mobile-phone-electronic-device.png
8239;Huawei Mate 10 Pro;Huawei;Mate 10 Pro;Mate;https://w7.pngwing.com/pngs/584/169/png-transparent-huawei-mate-10-huawei-mate-8-%E5%8D%8E%E4%B8%BA-lte-others-gadget-mobile-phone-electronic-device.png
8641;Huawei Mate 10 Pro;Huawei;Mate 10 Pro;Mate;https://w7.pngwing.com/pngs/584/169/png-transparent-huawei-mate-10-huawei-mate-8-%E5%8D%8E%E4%B8%BA-lte-others-gadget-mobile-phone-electronic-device.png
7867;Huawei Mate 20;Huawei;Mate 20;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
7872;Huawei Mate 20;Huawei;Mate 20;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
7911;Huawei Mate 20;Huawei;Mate 20;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
9013;Huawei Mate 20;Huawei;Mate 20;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
7871;Huawei Mate 20 Lite;Huawei;Mate 20 Lite;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
7876;Huawei Mate 20 Lite;Huawei;Mate 20 Lite;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
7916;Huawei Mate 20 Lite;Huawei;Mate 20 Lite;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
7918;Huawei Mate 20 Lite;Huawei;Mate 20 Lite;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
8039;Huawei Mate 20 Lite;Huawei;Mate 20 Lite;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
8065;Huawei Mate 20 Lite;Huawei;Mate 20 Lite;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
8145;Huawei Mate 20 Lite;Huawei;Mate 20 Lite;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
8250;Huawei Mate 20 Lite;Huawei;Mate 20 Lite;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
